xflr5 v6.47

E387
Reynolds =  100000   Mach =    0  NCrit = 9.0
Alpha,Cd,Cl,Cm,XTr1,XTr2,TEHMom,Cpmn
  5.000       0.023     0.913    -0.084     0.632     1.000    0.0000  -1.4612
 Cpi          Cpv
-----------------
 0.2348    0.1100
 0.1964    0.1040
 0.1488    0.0928
 0.0841    0.0734
 0.0249    0.0471
-0.0222    0.0166
-0.0676   -0.0182
-0.1133   -0.0575
-0.1640   -0.1041
-0.2202   -0.1644
-0.2830   -0.2570
-0.3539   -0.4248
-0.4326   -0.6741
-0.5275   -0.7386
-0.6334   -0.7451
-0.7409   -0.7532
-0.8389   -0.7677
-0.9275   -0.7963
-1.0023   -0.8445
-1.0595   -0.9085
-1.0929   -0.9652
-1.1299   -1.0150
-1.1703   -1.0616
-1.2185   -1.1093
-1.2721   -1.1584
-1.3324   -1.2099
-1.4027   -1.2644
-1.4800   -1.3178
-1.5616   -1.3650
-1.6468   -1.3402
-1.5912   -1.4612
-2.1563   -1.4110
 0.2192    0.5354
 0.9596    0.9172
 0.7784    0.7027
 0.6054    0.5519
 0.4952    0.4356
 0.4235    0.3766
 0.3743    0.3292
 0.3404    0.2996
 0.3158    0.2778
 0.2981    0.2620
 0.2845    0.2500
 0.2737    0.2402
 0.2649    0.2321
 0.2580    0.2252
 0.2518    0.2190
 0.2465    0.2132
 0.2418    0.2076
 0.2377    0.2020
 0.2335    0.1959
 0.2299    0.1896
 0.2262    0.1827
 0.2234    0.1752
 0.2199    0.1663
 0.2174    0.1562
 0.2137    0.1439
 0.2179    0.1320
 0.2295    0.1197
 0.2394    0.1063
 0.2348    0.1100


Reynolds =  100000   Mach =    0  NCrit = 9.0
Alpha,Cd,Cl,Cm,XTr1,XTr2,TEHMom,Cpmn
  4.500       0.023     0.864    -0.086     0.651     1.000    0.0000  -1.2218
 Cpi          Cpv
-----------------
 0.2328    0.1127
 0.1952    0.1064
 0.1482    0.0952
 0.0843    0.0758
 0.0260    0.0497
-0.0201    0.0195
-0.0644   -0.0148
-0.1089   -0.0540
-0.1583   -0.1022
-0.2130   -0.1696
-0.2741   -0.2820
-0.3431   -0.4751
-0.4195   -0.6916
-0.5117   -0.6984
-0.6145   -0.7045
-0.7184   -0.7130
-0.8124   -0.7294
-0.8968   -0.7617
-0.9669   -0.8143
-1.0190   -0.8783
-1.0472   -0.9295
-1.0781   -0.9725
-1.1113   -1.0118
-1.1507   -1.0510
-1.1935   -1.0899
-1.2401   -1.1289
-1.2926   -1.1675
-1.3459   -1.1992
-1.3940   -1.2218
-1.4282   -1.1531
-1.3119   -1.1964
-1.6263   -1.0055
 0.5123    0.7339
 0.9157    0.8656
 0.7144    0.6356
 0.5448    0.4938
 0.4422    0.3847
 0.3778    0.3331
 0.3347    0.2921
 0.3058    0.2672
 0.2853    0.2494
 0.2711    0.2371
 0.2605    0.2279
 0.2521    0.2206
 0.2455    0.2146
 0.2405    0.2096
 0.2359    0.2050
 0.2322    0.2007
 0.2288    0.1964
 0.2259    0.1922
 0.2228    0.1873
 0.2204    0.1821
 0.2176    0.1763
 0.2158    0.1699
 0.2131    0.1621
 0.2115    0.1531
 0.2086    0.1420
 0.2136    0.1314
 0.2261    0.1204
 0.2367    0.1086
 0.2328    0.1127


Reynolds =  100000   Mach =    0  NCrit = 9.0
Alpha,Cd,Cl,Cm,XTr1,XTr2,TEHMom,Cpmn
  4.000       0.023     0.810    -0.087     0.668     1.000    0.0000  -1.0749
 Cpi          Cpv
-----------------
 0.2310    0.1107
 0.1940    0.1046
 0.1477    0.0937
 0.0846    0.0751
 0.0272    0.0500
-0.0179    0.0207
-0.0610   -0.0134
-0.1044   -0.0543
-0.1524   -0.1082
-0.2056   -0.1907
-0.2651   -0.3347
-0.3321   -0.5369
-0.4063   -0.6503
-0.4958   -0.6559
-0.5955   -0.6615
-0.6958   -0.6702
-0.7859   -0.6879
-0.8660   -0.7228
-0.9314   -0.7788
-0.9787   -0.8413
-1.0018   -0.8873
-1.0267   -0.9240
-1.0528   -0.9562
-1.0837   -0.9871
-1.1160   -1.0159
-1.1493   -1.0425
-1.1846   -1.0652
-1.2151   -1.0749
-1.2317   -1.0723
-1.2186   -0.9624
-1.0482   -0.9355
-1.1446   -0.6129
 0.7368    0.8850
 0.8558    0.7971
 0.6424    0.5574
 0.4801    0.4282
 0.3865    0.3284
 0.3304    0.2853
 0.2939    0.2516
 0.2704    0.2320
 0.2543    0.2187
 0.2437    0.2100
 0.2361    0.2039
 0.2303    0.1991
 0.2260    0.1953
 0.2229    0.1923
 0.2200    0.1894
 0.2178    0.1866
