"mh32 predicted at" "2021-05-06 13:36:06"
1.0 -0.015265521
0.99320894 -0.01490331
0.98505354 -0.014493191
0.9768982 -0.014036537
0.96874636 -0.013534719
0.96150213 -0.012989109
0.9533464 -0.01240108
0.945191 -0.011772001
0.9373935 -0.011103245
0.92980444 -0.0103961835
0.9220944 -0.009652189
0.9143977 -0.008872632
0.906243 -0.008058885
0.8985325 -0.0072123185
0.89085066 -0.0063343057
0.88315326 -0.0054262173
0.87545013 -0.0044894256
0.86735076 -0.0035253016
0.8600504 -0.0025352174
0.85189843 -0.0015205446
0.8446681 -0.0004826548
0.8364948 0.0005770803
0.82925594 0.001657289
0.82175815 0.0027565996
0.8147688 0.0038736404
0.8066041 0.0050070398
0.79891807 0.006155426
0.7912405 0.007317428
0.7835163 0.0084916735
0.7758233 0.00967679
0.7681259 0.010871408
0.76042694 0.012074154
0.7527277 0.013283656
0.74503076 0.014498544
0.7373327 0.015717445
0.7296345 0.016938988
0.72192156 0.018161802
0.7142236 0.019384515
0.7070242 0.020605752
0.6992725 0.021824148
0.69205695 0.023038324
0.6839086 0.024246914
0.6763013 0.025448544
0.6685942 0.026641842
0.6612708 0.027825436
0.65310836 0.028997956
0.64540976 0.030158028
0.6377164 0.031304285
0.6300638 0.03243535
0.62235826 0.033549853
0.6146097 0.03464642
0.6073054 0.035723686
0.59967494 0.036780275
0.59198326 0.03781482
0.5842846 0.038825937
0.57612807 0.039812267
0.56842947 0.04077243
0.56038237 0.04170506
0.55257434 0.042608786
0.5448772 0.043482233
0.5372091 0.04432403
0.5289951 0.0451328
0.5212962 0.04590718
0.5136277 0.046645798
0.50548035 0.047347277
0.4977744 0.047995497
0.49007595 0.048996437
0.48237732 0.049772147
0.47422814 0.050509922
0.46652293 0.05115467
0.45882547 0.051780075
0.45115626 0.05239548
0.44298044 0.053008605
0.43527418 0.053555533
0.42756984 0.054081738
0.41942063 0.05457904
0.41172254 0.054964736
0.40356708 0.055386145
0.3954117 0.05568897
0.38728836 0.05611512
0.37955815 0.056453172
0.37140274 0.056861863
0.36324736 0.05717923
0.355092 0.057471152
0.34693658 0.057772398
0.3387812 0.057983574
0.33062583 0.05813932
0.32247046 0.05811141
0.31431505 0.05813494
0.30615968 0.058184605
0.2980043 0.058141146
0.28984892 0.058147892
0.28169352 0.057909314
0.27353814 0.057662286
0.26538277 0.05732823
0.2572274 0.056894217
0.249072 0.05655588
0.24115409 0.056435905
0.23321843 0.056106146
0.22506304 0.055752218
0.21690819 0.05561734
0.20921157 0.055317912
0.20105398 0.05504198
0.19335307 0.0546938
0.18520051 0.05414318
0.17701493 0.05359222
0.16934673 0.05272104
0.16164163 0.051961046
0.15381022 0.051047042
0.14624462 0.049985267
0.13854688 0.04878714
0.13086508 0.0475657
0.12316459 0.046252955
0.1155688 0.044867586
0.10820991 0.043362442
0.10083718 0.04174671
0.09326973 0.03994556
0.085554235 0.038037196
0.07833931 0.03623403
0.07110127 0.03419675
0.06385163 0.03224703
0.056583587 0.029701505
0.049443755 0.027185194
0.042597912 0.024412382
0.03584534 0.021043263
0.028950496 0.018009216
0.021853086 0.01487114
0.015742384 0.011674902
0.009010567 0.0077155465
0.0029847147 0.002538066
0.001134826 -0.0034671095
0.007467848 -0.007294387
0.014723943 -0.009460558
0.022443486 -0.0114378
0.030131953 -0.012600945
0.03774885 -0.01344298
0.04551107 -0.013936194
0.05366646 -0.014113041
0.061821833 -0.014474157
0.069520235 -0.014844888
0.077675425 -0.015105599
0.0858308 -0.015452007
0.09398618 -0.015901618
0.1021709 -0.016220883
0.109839804 -0.01669632
0.11799487 -0.01707932
0.12569284 -0.017488496
0.1338487 -0.017966101
0.14152008 -0.018193284
0.1497023 -0.018467396
0.15785769 -0.01869557
0.16601308 -0.019002002
0.17390452 -0.01927641
0.18186663 -0.019553034
0.19002202 -0.01978937
0.19817741 -0.020052064
0.2063335 -0.020348009
0.21403107 -0.02058589
0.22218636 -0.02077633
0.23034175 -0.020865949
0.23849712 -0.021059724
0.24665251 -0.021260101
0.2548079 -0.02133575
0.262978 -0.02142238
0.2706615 -0.021564757
0.27881685 -0.021689612
0.28697222 -0.021821827
0.29512763 -0.021840548
0.30328313 -0.022043157
0.31098524 -0.02212966
0.3191366 -0.022433091
0.32729197 -0.022752553
0.33544734 -0.022848621
0.3436212 -0.023259439
0.35130095 -0.02367857
0.3594563 -0.024078071
0.36761168 -0.02451505
0.37576708 -0.024991373
0.38392246 -0.025560599
0.3920779 -0.02597126
0.39978248 -0.026174882
0.40793142 -0.026348328
0.41608682 -0.026618693
0.4237857 -0.026844444
0.43194038 -0.027282465
0.44009575 -0.027541133
0.4482267 -0.02769724
0.45594934 -0.02795905
0.4641047 -0.027965281
0.47225514 -0.027987828
0.47995824 -0.028043376
0.48811367 -0.028021783
0.49626905 -0.027978964
0.50442445 -0.027948696
0.51212573 -0.027930144
0.52027816 -0.02792248
0.52798426 -0.027924867
0.53613156 -0.027936473
0.54428744 -0.027956467
0.55198544 -0.027984016
0.56014055 -0.028018286
0.56829125 -0.028058447
0.5759941 -0.028103663
0.5841495 -0.028153103
0.5923049 -0.028205933
0.6004603 -0.028261323
0.60861564 -0.028318439
0.61677104 -0.028376449
0.6249235 -0.028434517
0.6326245 -0.028491816
0.64078 -0.028547509
0.6489354 -0.028600764
0.6570908 -0.02865075
0.6652461 -0.028696632
0.67340153 -0.028737579
0.6815569 -0.028772758
0.6897123 -0.028801337
0.6978677 -0.028822483
0.70602304 -0.028835362
0.71417844 -0.028839143
0.72233385 -0.028832993
0.7304893 -0.028816078
0.7381906 -0.028787568
0.7463428 -0.028746627
0.7544982 -0.028692426
0.7626535 -0.028624129
0.77080894 -0.028540906
0.77896434 -0.02844192
0.7871197 -0.028326346
0.7952751 -0.028193343
0.80343056 -0.028042085
0.8111304 -0.027871735
0.819284 -0.027681462
0.82743937 -0.027470434
0.8351149 -0.027237816
0.8428285 -0.026982779
0.8500771 -0.026704486
0.8582322 -0.026402108
0.8663876 -0.02607481
0.87454295 -0.02572176
0.8822117 -0.025342127
0.89039654 -0.024935078
0.8981797 -0.024499776
0.9057914 -0.024035394
0.9139502 -0.023541097
0.9211651 -0.02301605
0.9293447 -0.022459425
0.93749964 -0.021870386
0.9451961 -0.021248102
0.95286673 -0.02059174
0.9610518 -0.019900465
0.968731 -0.019173449
0.97642773 -0.018409856
0.9846036 -0.017608853
0.9922967 -0.016769608
1.0 -0.015891291
